threshold,TP,TN,FP,FN,TP_LATE
0.0,143.0,0.0,1921.0,0.0,0.0
0.01,143.0,6.0,1915.0,0.0,0.0
0.02,143.0,10.0,1911.0,0.0,0.0
0.03,143.0,17.0,1904.0,0.0,0.0
0.04,143.0,19.0,1902.0,0.0,0.0
0.05,143.0,23.0,1898.0,0.0,0.0
0.06,143.0,35.0,1886.0,0.0,0.0
0.07,143.0,85.0,1836.0,0.0,0.0
0.08,143.0,194.0,1727.0,0.0,0.0
0.09,143.0,289.0,1632.0,0.0,0.0
0.1,143.0,390.0,1531.0,0.0,0.0
0.11,143.0,567.0,1354.0,0.0,0.0
0.12,143.0,774.0,1147.0,0.0,0.0
0.13,143.0,996.0,925.0,0.0,0.0
0.14,143.0,1256.0,665.0,0.0,0.0
0.15,143.0,1422.0,499.0,0.0,0.0
0.16,143.0,1526.0,395.0,0.0,0.0
0.17,143.0,1656.0,265.0,0.0,0.0
0.18,143.0,1715.0,206.0,0.0,0.0
0.19,143.0,1760.0,161.0,0.0,0.0
0.2,143.0,1802.0,119.0,0.0,0.0
0.21,143.0,1830.0,91.0,0.0,0.0
0.22,143.0,1863.0,58.0,0.0,0.0
0.23,143.0,1887.0,34.0,0.0,0.0
0.24,143.0,1895.0,26.0,0.0,0.0
0.25,143.0,1904.0,17.0,0.0,0.0
0.26,140.0,1913.0,8.0,1.0,2.0
0.27,117.0,1915.0,6.0,18.0,8.0
0.28,86.0,1917.0,4.0,46.0,11.0
0.29,77.0,1917.0,4.0,54.0,12.0
0.3,52.0,1917.0,4.0,75.0,16.0
0.31,21.0,1918.0,3.0,119.0,3.0
0.32,3.0,1918.0,3.0,139.0,1.0
0.33,3.0,1918.0,3.0,140.0,0.0
0.34,3.0,1919.0,2.0,140.0,0.0
0.35,3.0,1919.0,2.0,140.0,0.0
