threshold,TP,TN,FP,FN
0.0,143.0,0.0,1921.0,0.0
0.01,143.0,7.0,1914.0,0.0
0.02,143.0,8.0,1913.0,0.0
0.03,143.0,10.0,1911.0,0.0
0.04,143.0,11.0,1910.0,0.0
0.05,143.0,12.0,1909.0,0.0
0.06,143.0,15.0,1906.0,0.0
0.07,143.0,21.0,1900.0,0.0
0.08,143.0,31.0,1890.0,0.0
0.09,143.0,48.0,1873.0,0.0
0.1,143.0,78.0,1843.0,0.0
0.11,143.0,154.0,1767.0,0.0
0.12,143.0,264.0,1657.0,0.0
0.13,143.0,503.0,1418.0,0.0
0.14,143.0,821.0,1100.0,0.0
0.15,143.0,1076.0,845.0,0.0
0.16,143.0,1274.0,647.0,0.0
0.17,143.0,1468.0,453.0,0.0
0.18,143.0,1597.0,324.0,0.0
0.19,143.0,1681.0,240.0,0.0
0.2,143.0,1751.0,170.0,0.0
0.21,143.0,1794.0,127.0,0.0
0.22,143.0,1841.0,80.0,0.0
0.23,143.0,1874.0,47.0,0.0
0.24,143.0,1884.0,37.0,0.0
0.25,143.0,1893.0,28.0,0.0
0.26,142.0,1900.0,21.0,1.0
0.27,125.0,1904.0,17.0,18.0
0.28,97.0,1905.0,16.0,46.0
0.29,89.0,1908.0,13.0,54.0
0.3,68.0,1910.0,11.0,75.0
0.31,24.0,1912.0,9.0,119.0
0.32,4.0,1912.0,9.0,139.0
0.33,3.0,1912.0,9.0,140.0
0.34,3.0,1912.0,9.0,140.0
0.35,3.0,1912.0,9.0,140.0
