threshold,TP,TN,FP,FN,TP_LATE
0.0,143.0,0.0,1921.0,0.0,0.0
0.01,143.0,4.0,1917.0,0.0,0.0
0.02,143.0,9.0,1912.0,0.0,0.0
0.03,143.0,13.0,1908.0,0.0,0.0
0.04,143.0,15.0,1906.0,0.0,0.0
0.05,143.0,17.0,1904.0,0.0,0.0
0.06,143.0,24.0,1897.0,0.0,0.0
0.07,143.0,56.0,1865.0,0.0,0.0
0.08,143.0,143.0,1778.0,0.0,0.0
0.09,143.0,248.0,1673.0,0.0,0.0
0.1,143.0,336.0,1585.0,0.0,0.0
0.11,143.0,474.0,1447.0,0.0,0.0
0.12,143.0,717.0,1204.0,0.0,0.0
0.13,143.0,930.0,991.0,0.0,0.0
0.14,143.0,1180.0,741.0,0.0,0.0
0.15,143.0,1324.0,597.0,0.0,0.0
0.16,143.0,1447.0,474.0,0.0,0.0
0.17,141.0,1595.0,326.0,0.0,2.0
0.18,139.0,1658.0,263.0,0.0,4.0
0.19,135.0,1717.0,204.0,2.0,6.0
0.2,123.0,1780.0,141.0,6.0,14.0
0.21,104.0,1823.0,98.0,17.0,22.0
0.22,90.0,1862.0,59.0,24.0,29.0
0.23,53.0,1888.0,33.0,53.0,37.0
0.24,40.0,1898.0,23.0,71.0,32.0
0.25,26.0,1904.0,17.0,97.0,20.0
0.26,19.0,1909.0,12.0,108.0,16.0
0.27,10.0,1911.0,10.0,128.0,5.0
0.28,6.0,1913.0,8.0,136.0,1.0
0.29,5.0,1913.0,8.0,137.0,1.0
0.3,3.0,1913.0,8.0,140.0,0.0
0.31,2.0,1913.0,8.0,141.0,0.0
0.32,2.0,1913.0,8.0,141.0,0.0
0.33,2.0,1913.0,8.0,141.0,0.0
0.34,2.0,1913.0,8.0,141.0,0.0
0.35,1.0,1913.0,8.0,141.0,1.0
