threshold,TP,TN,FP,FN
0.0,128.0,0.0,381.0,0.0
0.01,128.0,54.0,327.0,0.0
0.02,128.0,54.0,327.0,0.0
0.03,128.0,55.0,326.0,0.0
0.04,128.0,56.0,325.0,0.0
0.05,128.0,57.0,324.0,0.0
0.06,128.0,57.0,324.0,0.0
0.07,128.0,57.0,324.0,0.0
0.08,128.0,59.0,322.0,0.0
0.09,128.0,63.0,318.0,0.0
0.1,128.0,69.0,312.0,0.0
0.11,128.0,73.0,308.0,0.0
0.12,128.0,77.0,304.0,0.0
0.13,128.0,86.0,295.0,0.0
0.14,128.0,90.0,291.0,0.0
0.15,128.0,102.0,279.0,0.0
0.16,128.0,109.0,272.0,0.0
0.17,128.0,111.0,270.0,0.0
0.18,128.0,133.0,248.0,0.0
0.19,128.0,151.0,230.0,0.0
0.2,128.0,175.0,206.0,0.0
0.21,127.0,186.0,195.0,1.0
0.22,127.0,202.0,179.0,1.0
0.23,127.0,225.0,156.0,1.0
0.24,124.0,235.0,146.0,4.0
0.25,119.0,242.0,139.0,9.0
0.26,119.0,246.0,135.0,9.0
0.27,119.0,253.0,128.0,9.0
0.28,116.0,268.0,113.0,12.0
0.29,106.0,276.0,105.0,22.0
0.3,103.0,282.0,99.0,25.0
0.31,86.0,293.0,88.0,42.0
0.32,74.0,299.0,82.0,54.0
0.33,72.0,300.0,81.0,56.0
0.34,68.0,308.0,73.0,60.0
0.35,59.0,311.0,70.0,69.0
