threshold,TP,TN,FP,FN,TP_LATE
0.0,128.0,0.0,381.0,0.0,0.0
0.01,128.0,54.0,327.0,0.0,0.0
0.02,128.0,54.0,327.0,0.0,0.0
0.03,128.0,55.0,326.0,0.0,0.0
0.04,128.0,56.0,325.0,0.0,0.0
0.05,128.0,57.0,324.0,0.0,0.0
0.06,128.0,57.0,324.0,0.0,0.0
0.07,128.0,57.0,324.0,0.0,0.0
0.08,128.0,59.0,322.0,0.0,0.0
0.09,128.0,63.0,318.0,0.0,0.0
0.1,128.0,69.0,312.0,0.0,0.0
0.11,128.0,73.0,308.0,0.0,0.0
0.12,128.0,77.0,304.0,0.0,0.0
0.13,128.0,86.0,295.0,0.0,0.0
0.14,127.0,90.0,291.0,0.0,1.0
0.15,126.0,102.0,279.0,0.0,2.0
0.16,126.0,109.0,272.0,0.0,2.0
0.17,126.0,111.0,270.0,0.0,2.0
0.18,123.0,133.0,248.0,0.0,5.0
0.19,120.0,151.0,230.0,0.0,8.0
0.2,113.0,175.0,206.0,0.0,15.0
0.21,106.0,186.0,195.0,1.0,21.0
0.22,98.0,202.0,179.0,1.0,29.0
0.23,93.0,225.0,156.0,1.0,34.0
0.24,81.0,235.0,146.0,4.0,43.0
0.25,76.0,242.0,139.0,9.0,43.0
0.26,71.0,246.0,135.0,9.0,48.0
0.27,62.0,253.0,128.0,9.0,57.0
0.28,58.0,268.0,113.0,12.0,58.0
0.29,55.0,276.0,105.0,22.0,51.0
0.3,51.0,282.0,99.0,25.0,52.0
0.31,41.0,293.0,88.0,42.0,45.0
0.32,32.0,299.0,82.0,54.0,42.0
0.33,29.0,300.0,81.0,56.0,43.0
0.34,27.0,308.0,73.0,60.0,41.0
0.35,24.0,311.0,70.0,69.0,35.0
