threshold,TP,TN,FP,FN
0.0,133.0,0.0,470.0,0.0
0.01,133.0,8.0,462.0,0.0
0.02,133.0,12.0,458.0,0.0
0.03,133.0,13.0,457.0,0.0
0.04,133.0,13.0,457.0,0.0
0.05,133.0,14.0,456.0,0.0
0.06,133.0,15.0,455.0,0.0
0.07,133.0,31.0,439.0,0.0
0.08,133.0,64.0,406.0,0.0
0.09,133.0,75.0,395.0,0.0
0.1,133.0,84.0,386.0,0.0
0.11,133.0,117.0,353.0,0.0
0.12,133.0,168.0,302.0,0.0
0.13,133.0,214.0,256.0,0.0
0.14,133.0,261.0,209.0,0.0
0.15,133.0,315.0,155.0,0.0
0.16,133.0,350.0,120.0,0.0
0.17,133.0,377.0,93.0,0.0
0.18,133.0,413.0,57.0,0.0
0.19,133.0,429.0,41.0,0.0
0.2,133.0,436.0,34.0,0.0
0.21,133.0,448.0,22.0,0.0
0.22,130.0,459.0,11.0,3.0
0.23,119.0,465.0,5.0,14.0
0.24,108.0,465.0,5.0,25.0
0.25,99.0,467.0,3.0,34.0
0.26,46.0,468.0,2.0,87.0
0.27,14.0,468.0,2.0,119.0
0.28,7.0,468.0,2.0,126.0
0.29,6.0,469.0,1.0,127.0
0.3,3.0,469.0,1.0,130.0
0.31,3.0,469.0,1.0,130.0
0.32,3.0,469.0,1.0,130.0
0.33,2.0,469.0,1.0,131.0
0.34,2.0,469.0,1.0,131.0
0.35,2.0,469.0,1.0,131.0
