threshold,TP,TN,FP,FN
0.0,133.0,0.0,470.0,0.0
0.01,133.0,9.0,461.0,0.0
0.02,133.0,13.0,457.0,0.0
0.03,133.0,16.0,454.0,0.0
0.04,133.0,18.0,452.0,0.0
0.05,133.0,18.0,452.0,0.0
0.06,133.0,18.0,452.0,0.0
0.07,133.0,24.0,446.0,0.0
0.08,133.0,34.0,436.0,0.0
0.09,133.0,45.0,425.0,0.0
0.1,133.0,60.0,410.0,0.0
0.11,133.0,85.0,385.0,0.0
0.12,133.0,120.0,350.0,0.0
0.13,133.0,168.0,302.0,0.0
0.14,133.0,222.0,248.0,0.0
0.15,133.0,279.0,191.0,0.0
0.16,133.0,344.0,126.0,0.0
0.17,133.0,385.0,85.0,0.0
0.18,133.0,422.0,48.0,0.0
0.19,133.0,445.0,25.0,0.0
0.2,133.0,453.0,17.0,0.0
0.21,133.0,463.0,7.0,0.0
0.22,130.0,467.0,3.0,3.0
0.23,118.0,467.0,3.0,15.0
0.24,106.0,468.0,2.0,27.0
0.25,97.0,468.0,2.0,36.0
0.26,43.0,469.0,1.0,90.0
0.27,14.0,469.0,1.0,119.0
0.28,7.0,469.0,1.0,126.0
0.29,6.0,469.0,1.0,127.0
0.3,3.0,469.0,1.0,130.0
0.31,3.0,469.0,1.0,130.0
0.32,3.0,469.0,1.0,130.0
0.33,2.0,469.0,1.0,131.0
0.34,2.0,469.0,1.0,131.0
0.35,2.0,469.0,1.0,131.0
