threshold,TP,TN,FP,FN,TP_LATE
0.0,133.0,0.0,470.0,0.0,0.0
0.01,133.0,3.0,467.0,0.0,0.0
0.02,133.0,4.0,466.0,0.0,0.0
0.03,133.0,4.0,466.0,0.0,0.0
0.04,133.0,4.0,466.0,0.0,0.0
0.05,133.0,4.0,466.0,0.0,0.0
0.06,133.0,4.0,466.0,0.0,0.0
0.07,133.0,8.0,462.0,0.0,0.0
0.08,133.0,13.0,457.0,0.0,0.0
0.09,133.0,15.0,455.0,0.0,0.0
0.1,133.0,22.0,448.0,0.0,0.0
0.11,133.0,29.0,441.0,0.0,0.0
0.12,133.0,49.0,421.0,0.0,0.0
0.13,133.0,85.0,385.0,0.0,0.0
0.14,133.0,148.0,322.0,0.0,0.0
0.15,133.0,209.0,261.0,0.0,0.0
0.16,133.0,276.0,194.0,0.0,0.0
0.17,133.0,326.0,144.0,0.0,0.0
0.18,133.0,375.0,95.0,0.0,0.0
0.19,133.0,402.0,68.0,0.0,0.0
0.2,133.0,421.0,49.0,0.0,0.0
0.21,133.0,444.0,26.0,0.0,0.0
0.22,126.0,455.0,15.0,2.0,5.0
0.23,98.0,462.0,8.0,13.0,22.0
0.24,81.0,465.0,5.0,24.0,28.0
0.25,72.0,467.0,3.0,33.0,28.0
0.26,18.0,468.0,2.0,86.0,29.0
0.27,3.0,468.0,2.0,118.0,12.0
0.28,3.0,468.0,2.0,125.0,5.0
0.29,2.0,469.0,1.0,126.0,5.0
0.3,2.0,469.0,1.0,130.0,1.0
0.31,2.0,469.0,1.0,130.0,1.0
0.32,2.0,469.0,1.0,130.0,1.0
0.33,2.0,469.0,1.0,131.0,0.0
0.34,2.0,469.0,1.0,131.0,0.0
0.35,2.0,469.0,1.0,131.0,0.0
