threshold,TP,TN,FP,FN,TP_LATE
0.0,136.0,0.0,537.0,0.0,0.0
0.01,136.0,0.0,537.0,0.0,0.0
0.02,136.0,0.0,537.0,0.0,0.0
0.03,136.0,0.0,537.0,0.0,0.0
0.04,136.0,0.0,537.0,0.0,0.0
0.05,136.0,0.0,537.0,0.0,0.0
0.06,136.0,0.0,537.0,0.0,0.0
0.07,136.0,0.0,537.0,0.0,0.0
0.08,136.0,0.0,537.0,0.0,0.0
0.09,136.0,0.0,537.0,0.0,0.0
0.1,136.0,0.0,537.0,0.0,0.0
0.11,136.0,0.0,537.0,0.0,0.0
0.12,136.0,1.0,536.0,0.0,0.0
0.13,135.0,2.0,535.0,0.0,1.0
0.14,134.0,14.0,523.0,0.0,2.0
0.15,134.0,143.0,394.0,0.0,2.0
0.16,131.0,173.0,364.0,0.0,5.0
0.17,118.0,194.0,343.0,0.0,18.0
0.18,97.0,233.0,304.0,1.0,38.0
0.19,89.0,309.0,228.0,1.0,46.0
0.2,77.0,314.0,223.0,3.0,56.0
0.21,69.0,340.0,197.0,6.0,61.0
0.22,69.0,354.0,183.0,11.0,56.0
0.23,36.0,401.0,136.0,51.0,49.0
0.24,8.0,514.0,23.0,82.0,46.0
0.25,6.0,520.0,17.0,109.0,21.0
0.26,4.0,529.0,8.0,122.0,10.0
0.27,4.0,535.0,2.0,126.0,6.0
0.28,4.0,536.0,1.0,131.0,1.0
0.29,3.0,537.0,0.0,132.0,1.0
0.3,2.0,537.0,0.0,133.0,1.0
0.31,0.0,537.0,0.0,136.0,0.0
0.32,0.0,537.0,0.0,136.0,0.0
0.33,0.0,537.0,0.0,136.0,0.0
0.34,0.0,537.0,0.0,136.0,0.0
0.35,0.0,537.0,0.0,136.0,0.0
