threshold,TP,TN,FP,FN,TP_LATE
0.0,136.0,0.0,537.0,0.0,0.0
0.01,136.0,1.0,536.0,0.0,0.0
0.02,136.0,1.0,536.0,0.0,0.0
0.03,136.0,1.0,536.0,0.0,0.0
0.04,136.0,1.0,536.0,0.0,0.0
0.05,136.0,1.0,536.0,0.0,0.0
0.06,136.0,1.0,536.0,0.0,0.0
0.07,136.0,1.0,536.0,0.0,0.0
0.08,136.0,24.0,513.0,0.0,0.0
0.09,136.0,31.0,506.0,0.0,0.0
0.1,136.0,31.0,506.0,0.0,0.0
0.11,136.0,32.0,505.0,0.0,0.0
0.12,136.0,32.0,505.0,0.0,0.0
0.13,135.0,162.0,375.0,0.0,1.0
0.14,132.0,180.0,357.0,0.0,4.0
0.15,131.0,328.0,209.0,0.0,5.0
0.16,127.0,465.0,72.0,0.0,9.0
0.17,113.0,467.0,70.0,0.0,23.0
0.18,99.0,480.0,57.0,0.0,37.0
0.19,75.0,500.0,37.0,0.0,61.0
0.2,33.0,508.0,29.0,3.0,100.0
0.21,27.0,512.0,25.0,5.0,104.0
0.22,18.0,516.0,21.0,11.0,107.0
0.23,17.0,516.0,21.0,35.0,84.0
0.24,11.0,521.0,16.0,55.0,70.0
0.25,10.0,525.0,12.0,67.0,59.0
0.26,9.0,526.0,11.0,88.0,39.0
0.27,8.0,528.0,9.0,101.0,27.0
0.28,7.0,535.0,2.0,128.0,1.0
0.29,6.0,535.0,2.0,129.0,1.0
0.3,5.0,535.0,2.0,130.0,1.0
0.31,3.0,537.0,0.0,133.0,0.0
0.32,1.0,537.0,0.0,135.0,0.0
0.33,0.0,537.0,0.0,136.0,0.0
0.34,0.0,537.0,0.0,136.0,0.0
0.35,0.0,537.0,0.0,136.0,0.0
