threshold,TP,TN,FP,FN,TP_LATE
0.0,136.0,0.0,537.0,0.0,0.0
0.01,136.0,0.0,537.0,0.0,0.0
0.02,136.0,0.0,537.0,0.0,0.0
0.03,136.0,0.0,537.0,0.0,0.0
0.04,136.0,0.0,537.0,0.0,0.0
0.05,136.0,0.0,537.0,0.0,0.0
0.06,136.0,0.0,537.0,0.0,0.0
0.07,136.0,0.0,537.0,0.0,0.0
0.08,136.0,0.0,537.0,0.0,0.0
0.09,136.0,0.0,537.0,0.0,0.0
0.1,136.0,0.0,537.0,0.0,0.0
0.11,136.0,1.0,536.0,0.0,0.0
0.12,136.0,1.0,536.0,0.0,0.0
0.13,136.0,6.0,531.0,0.0,0.0
0.14,135.0,126.0,411.0,0.0,1.0
0.15,135.0,136.0,401.0,0.0,1.0
0.16,135.0,167.0,370.0,0.0,1.0
0.17,131.0,186.0,351.0,0.0,5.0
0.18,126.0,224.0,313.0,0.0,10.0
0.19,111.0,303.0,234.0,0.0,25.0
0.2,87.0,311.0,226.0,0.0,49.0
0.21,79.0,337.0,200.0,0.0,57.0
0.22,74.0,351.0,186.0,0.0,62.0
0.23,40.0,388.0,149.0,17.0,79.0
0.24,13.0,497.0,40.0,36.0,87.0
0.25,11.0,503.0,34.0,62.0,63.0
0.26,9.0,520.0,17.0,86.0,41.0
0.27,8.0,527.0,10.0,100.0,28.0
0.28,7.0,534.0,3.0,128.0,1.0
0.29,6.0,535.0,2.0,129.0,1.0
0.3,5.0,535.0,2.0,130.0,1.0
0.31,3.0,537.0,0.0,133.0,0.0
0.32,1.0,537.0,0.0,135.0,0.0
0.33,0.0,537.0,0.0,136.0,0.0
0.34,0.0,537.0,0.0,136.0,0.0
0.35,0.0,537.0,0.0,136.0,0.0
