threshold,TP,TN,FP,FN,TP_LATE
0.0,136.0,0.0,537.0,0.0,0.0
0.01,136.0,532.0,5.0,0.0,0.0
0.02,136.0,532.0,5.0,0.0,0.0
0.03,136.0,532.0,5.0,0.0,0.0
0.04,136.0,532.0,5.0,0.0,0.0
0.05,136.0,457.0,80.0,0.0,0.0
0.06,136.0,534.0,3.0,0.0,0.0
0.07,136.0,530.0,7.0,0.0,0.0
0.08,136.0,525.0,12.0,0.0,0.0
0.09,133.0,534.0,3.0,0.0,3.0
0.1,131.0,531.0,6.0,0.0,5.0
0.11,131.0,527.0,10.0,0.0,5.0
0.12,130.0,533.0,4.0,0.0,6.0
0.13,129.0,531.0,6.0,0.0,7.0
0.14,125.0,536.0,1.0,0.0,11.0
0.15,122.0,535.0,2.0,0.0,14.0
0.16,117.0,537.0,0.0,0.0,19.0
0.17,106.0,536.0,1.0,0.0,30.0
0.18,90.0,537.0,0.0,0.0,46.0
0.19,69.0,537.0,0.0,0.0,67.0
0.2,30.0,537.0,0.0,3.0,103.0
0.21,23.0,537.0,0.0,5.0,108.0
0.22,12.0,537.0,0.0,11.0,113.0
0.23,10.0,537.0,0.0,38.0,88.0
0.24,9.0,537.0,0.0,57.0,70.0
0.25,6.0,537.0,0.0,69.0,61.0
0.26,5.0,537.0,0.0,91.0,40.0
0.27,5.0,537.0,0.0,104.0,27.0
0.28,4.0,537.0,0.0,131.0,1.0
0.29,3.0,537.0,0.0,132.0,1.0
0.3,2.0,537.0,0.0,133.0,1.0
0.31,0.0,537.0,0.0,136.0,0.0
0.32,0.0,537.0,0.0,136.0,0.0
0.33,0.0,537.0,0.0,136.0,0.0
0.34,0.0,537.0,0.0,136.0,0.0
0.35,0.0,537.0,0.0,136.0,0.0
