log_key,log_template,log_text,label
1,[<:NUM:>.<:NUM:>] br0: port <:*:> entered <:*:> state,[.] br0: port  entered  state,False
2,[<:NUM:>.<:NUM:>] device <:*:> <:*:> promiscuous mode,[.] device   promiscuous mode,False
3,[<:NUM:>.<:NUM:>] IPv6: ADDRCONF(NETDEV CHANGE): <:*:> link becomes ready,[.] IPv6: ADDRCONF(NETDEV CHANGE):  link becomes ready,False
4,"[<:NUM:>.<:NUM:>] kvm [<:NUM:>]: vcpu0, guest rIP: <:HEX:> disabled perfctr wrmsr: <:HEX:> data <:HEX:>","[.] kvm []: vcpu0, guest rIP: <:HEX:> disabled perfctr wrmsr: <:HEX:> data <:HEX:>",True
5,"[<:NUM:>.<:NUM:>] qemu-system-x86 invoked oom-killer: gfp mask=<:HEX:>(GFP KERNEL ACCOUNT), order=<:NUM:>, oom score adj=<:NUM:>","[.] qemu-system-x86 invoked oom-killer: gfp mask=<:HEX:>(GFP KERNEL ACCOUNT), order=, oom score adj=",True
6,[<:NUM:>.<:NUM:>] CPU: <:NUM:> PID: <:NUM:> Comm: qemu-system-x86 Not tainted <:NUM:>.<:NUM:>.<:NUM:>-<:NUM:>-generic #<:NUM:>-Ubuntu,[.] CPU:  PID:  Comm: qemu-system-x86 Not tainted ..--generic #-Ubuntu,True
7,"[<:NUM:>.<:NUM:>] Hardware name: Hewlett-Packard HP Z620 Workstation/158A, BIOS J61 v03.<:NUM:> <:NUM:>/<:NUM:>/<:NUM:>","[.] Hardware name: Hewlett-Packard HP Z620 Workstation/158A, BIOS J61 v03. //",True
8,[<:NUM:>.<:NUM:>] Call Trace:,[.] Call Trace:,True
9,[<:NUM:>.<:NUM:>] dump <:*:>,[.] dump ,True
10,[<:NUM:>.<:NUM:>] oom kill process.cold+<:HEX:>/<:HEX:>,[.] oom kill process.cold+<:HEX:>/<:HEX:>,True
11,[<:NUM:>.<:NUM:>] out of memory+<:HEX:>/<:HEX:>,[.] out of memory+<:HEX:>/<:HEX:>,True
12,[<:NUM:>.<:NUM:>] <:*:> pages <:*:>,[.]  pages ,True
13,[<:NUM:>.<:NUM:>] ? page counter try charge+<:HEX:>/<:HEX:>,[.] ? page counter try charge+<:HEX:>/<:HEX:>,True
14,[<:NUM:>.<:NUM:>] get free pages+<:HEX:>/<:HEX:>,[.] get free pages+<:HEX:>/<:HEX:>,True
15,[<:NUM:>.<:NUM:>] mmu topup memory caches+<:HEX:>/<:HEX:> [kvm],[.] mmu topup memory caches+<:HEX:>/<:HEX:> [kvm],True
16,[<:NUM:>.<:NUM:>] <:*:> <:*:> <:*:> [kvm],[.]    [kvm],True
17,[<:NUM:>.<:NUM:>] kvm mmu page fault+<:HEX:>/<:HEX:> [kvm],[.] kvm mmu page fault+<:HEX:>/<:HEX:> [kvm],True
18,[<:NUM:>.<:NUM:>] <:*:> <:*:> <:*:> [kvm intel],[.]    [kvm intel],True
19,[<:NUM:>.<:NUM:>] ? kvm apic local deliver+<:HEX:>/<:HEX:> [kvm],[.] ? kvm apic local deliver+<:HEX:>/<:HEX:> [kvm],True
20,[<:NUM:>.<:NUM:>] kvm arch vcpu ioctl run+<:HEX:>/<:HEX:> [kvm],[.] kvm arch vcpu ioctl run+<:HEX:>/<:HEX:> [kvm],True
21,[<:NUM:>.<:NUM:>] ? <:*:> <:*:>,[.] ?  ,True
22,[<:NUM:>.<:NUM:>] <:*:> <:*:> ioctl+<:HEX:>/<:HEX:>,[.]   ioctl+<:HEX:>/<:HEX:>,True
23,[<:NUM:>.<:NUM:>] ksys <:*:>,[.] ksys ,True
24,[<:NUM:>.<:NUM:>] do <:*:> <:*:>,[.] do  ,True
25,[<:NUM:>.<:NUM:>] entry SYSCALL <:NUM:> after hwframe+<:HEX:>/<:HEX:>,[.] entry SYSCALL  after hwframe+<:HEX:>/<:HEX:>,True
26,[<:NUM:>.<:NUM:>] RIP: <:NUM:>:<:HEX:>,[.] RIP: :<:HEX:>,True
27,[<:NUM:>.<:NUM:>] Code: 0f 1e fa <:NUM:> 8b <:NUM:> e5 7a 0d <:NUM:> <:NUM:> c7 <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> <:NUM:> c7 c0 ff ff ff ff c3 <:NUM:> 0f 1f <:NUM:> <:NUM:> <:NUM:> f3 0f 1e fa b8 <:NUM:> <:NUM:> <:NUM:> <:NUM:> 0f <:NUM:> <<:NUM:>> 3d <:NUM:> f0 ff ff <:NUM:> <:NUM:> c3 <:NUM:> 8b 0d b5 7a 0d <:NUM:> f7 d8 <:NUM:> <:NUM:> <:NUM:> <:NUM:>,[.] Code: 0f 1e fa  8b  e5 7a 0d   c7       c7 c0 ff ff ff ff c3  0f 1f    f3 0f 1e fa b8     0f  <> 3d  f0 ff ff   c3  8b 0d b5 7a 0d  f7 d8    ,True
28,[<:NUM:>.<:NUM:>] RSP: <:*:> EFLAGS: <:NUM:> ORIG RAX: <:*:>,[.] RSP:  EFLAGS:  ORIG RAX: ,True
29,[<:NUM:>.<:NUM:>] RAX: ffffffffffffffda RBX: <:*:> RCX: <:*:>,[.] RAX: ffffffffffffffda RBX:  RCX: ,True
30,[<:NUM:>.<:NUM:>] RDX: <:*:> RSI: <:*:> RDI: <:*:>,[.] RDX:  RSI:  RDI: ,True
31,[<:NUM:>.<:NUM:>] RBP: <:*:> R08: <:*:> R09: <:*:>,[.] RBP:  R08:  R09: ,True
32,[<:NUM:>.<:NUM:>] <:*:> <:SEQ:> <:*:> <:*:> <:*:> <:SEQ:>,[.]      ,True
33,[<:NUM:>.<:NUM:>] <:*:>,[.] ,True
34,[<:NUM:>.<:NUM:>] active <:*:> inactive <:*:> isolated <:*:>,[.] active  inactive  isolated ,True
35,[<:NUM:>.<:NUM:>] unevictable:<:NUM:> dirty:<:NUM:> writeback:<:NUM:> unstable:<:NUM:>,[.] unevictable: dirty: writeback: unstable:,True
