threshold,TP,TN,FP,FN
0.0,143.0,0.0,1921.0,0.0
0.05,143.0,1758.0,163.0,0.0
0.1,143.0,1758.0,163.0,0.0
0.15,143.0,1763.0,158.0,0.0
0.2,143.0,1770.0,151.0,0.0
0.25,143.0,1776.0,145.0,0.0
0.3,143.0,1788.0,133.0,0.0
0.35,143.0,1803.0,118.0,0.0
0.4,143.0,1818.0,103.0,0.0
0.45,142.0,1829.0,92.0,1.0
0.5,142.0,1850.0,71.0,1.0
0.55,142.0,1867.0,54.0,1.0
0.6,141.0,1884.0,37.0,2.0
0.65,141.0,1892.0,29.0,2.0
0.7,137.0,1900.0,21.0,6.0
0.75,133.0,1905.0,16.0,10.0
0.8,123.0,1909.0,12.0,20.0
0.85,111.0,1912.0,9.0,32.0
0.9,91.0,1915.0,6.0,52.0
0.95,65.0,1915.0,6.0,78.0
1.0,34.0,1917.0,4.0,109.0
