threshold,TP,TN,FP,FN,TP_LATE
0.0,143.0,0.0,1921.0,0.0,0.0
0.05,143.0,1758.0,163.0,0.0,0.0
0.1,143.0,1758.0,163.0,0.0,0.0
0.15,143.0,1763.0,158.0,0.0,0.0
0.2,143.0,1770.0,151.0,0.0,0.0
0.25,143.0,1776.0,145.0,0.0,0.0
0.3,143.0,1788.0,133.0,0.0,0.0
0.35,143.0,1803.0,118.0,0.0,0.0
0.4,143.0,1818.0,103.0,0.0,0.0
0.45,142.0,1829.0,92.0,1.0,0.0
0.5,142.0,1850.0,71.0,1.0,0.0
0.55,140.0,1867.0,54.0,1.0,2.0
0.6,139.0,1884.0,37.0,2.0,2.0
0.65,138.0,1892.0,29.0,2.0,3.0
0.7,133.0,1900.0,21.0,6.0,4.0
0.75,129.0,1905.0,16.0,10.0,4.0
0.8,117.0,1909.0,12.0,20.0,6.0
0.85,104.0,1912.0,9.0,32.0,7.0
0.9,82.0,1915.0,6.0,52.0,9.0
0.95,58.0,1915.0,6.0,78.0,7.0
1.0,31.0,1917.0,4.0,109.0,3.0
