threshold,TP,TN,FP,FN,TP_LATE
0.0,143.0,0.0,1921.0,0.0,0.0
0.05,143.0,1.0,1920.0,0.0,0.0
0.1,143.0,504.0,1417.0,0.0,0.0
0.15,143.0,1482.0,439.0,0.0,0.0
0.2,143.0,1641.0,280.0,0.0,0.0
0.25,143.0,1728.0,193.0,0.0,0.0
0.3,143.0,1783.0,138.0,0.0,0.0
0.35,143.0,1802.0,119.0,0.0,0.0
0.4,143.0,1828.0,93.0,0.0,0.0
0.45,143.0,1849.0,72.0,0.0,0.0
0.5,143.0,1857.0,64.0,0.0,0.0
0.55,142.0,1871.0,50.0,1.0,0.0
0.6,142.0,1875.0,46.0,1.0,0.0
0.65,140.0,1880.0,41.0,1.0,2.0
0.7,140.0,1880.0,41.0,1.0,2.0
0.75,139.0,1882.0,39.0,2.0,2.0
0.8,139.0,1882.0,39.0,2.0,2.0
0.85,136.0,1883.0,38.0,2.0,5.0
0.9,134.0,1884.0,37.0,3.0,6.0
0.95,133.0,1884.0,37.0,3.0,7.0
1.0,131.0,1884.0,37.0,3.0,9.0
