threshold,TP,TN,FP,FN,TP_LATE
0.0,143.0,0.0,1921.0,0.0,0.0
0.01,143.0,2.0,1919.0,0.0,0.0
0.02,143.0,2.0,1919.0,0.0,0.0
0.03,143.0,2.0,1919.0,0.0,0.0
0.04,143.0,2.0,1919.0,0.0,0.0
0.05,143.0,2.0,1919.0,0.0,0.0
0.06,143.0,2.0,1919.0,0.0,0.0
0.07,143.0,7.0,1914.0,0.0,0.0
0.08,143.0,17.0,1904.0,0.0,0.0
0.09,143.0,50.0,1871.0,0.0,0.0
0.1,143.0,76.0,1845.0,0.0,0.0
0.11,143.0,141.0,1780.0,0.0,0.0
0.12,143.0,257.0,1664.0,0.0,0.0
0.13,143.0,504.0,1417.0,0.0,0.0
0.14,143.0,881.0,1040.0,0.0,0.0
0.15,143.0,1169.0,752.0,0.0,0.0
0.16,143.0,1350.0,571.0,0.0,0.0
0.17,143.0,1527.0,394.0,0.0,0.0
0.18,143.0,1623.0,298.0,0.0,0.0
0.19,143.0,1689.0,232.0,0.0,0.0
0.2,143.0,1745.0,176.0,0.0,0.0
0.21,143.0,1791.0,130.0,0.0,0.0
0.22,143.0,1837.0,84.0,0.0,0.0
0.23,143.0,1871.0,50.0,0.0,0.0
0.24,143.0,1883.0,38.0,0.0,0.0
0.25,143.0,1893.0,28.0,0.0,0.0
0.26,140.0,1900.0,21.0,1.0,2.0
0.27,117.0,1904.0,17.0,18.0,8.0
0.28,86.0,1906.0,15.0,46.0,11.0
0.29,77.0,1909.0,12.0,54.0,12.0
0.3,51.0,1911.0,10.0,76.0,16.0
0.31,20.0,1913.0,8.0,120.0,3.0
0.32,2.0,1913.0,8.0,140.0,1.0
0.33,2.0,1913.0,8.0,141.0,0.0
0.34,2.0,1913.0,8.0,141.0,0.0
0.35,2.0,1913.0,8.0,141.0,0.0
