threshold,TP,TN,FP,FN
0.0,143.0,0.0,1921.0,0.0
0.01,143.0,1856.0,65.0,0.0
0.02,143.0,1854.0,67.0,0.0
0.03,143.0,1892.0,29.0,0.0
0.04,143.0,1857.0,64.0,0.0
0.05,143.0,1831.0,90.0,0.0
0.06,143.0,1863.0,58.0,0.0
0.07,143.0,1883.0,38.0,0.0
0.08,143.0,1814.0,107.0,0.0
0.09,143.0,1910.0,11.0,0.0
0.1,143.0,1877.0,44.0,0.0
0.11,143.0,1913.0,8.0,0.0
0.12,143.0,1905.0,16.0,0.0
0.13,143.0,1915.0,6.0,0.0
0.14,143.0,1918.0,3.0,0.0
0.15,143.0,1915.0,6.0,0.0
0.16,143.0,1915.0,6.0,0.0
0.17,143.0,1919.0,2.0,0.0
0.18,143.0,1919.0,2.0,0.0
0.19,143.0,1919.0,2.0,0.0
0.2,143.0,1917.0,4.0,0.0
0.21,143.0,1919.0,2.0,0.0
0.22,143.0,1919.0,2.0,0.0
0.23,143.0,1920.0,1.0,0.0
0.24,143.0,1920.0,1.0,0.0
0.25,143.0,1918.0,3.0,0.0
0.26,142.0,1921.0,0.0,1.0
0.27,125.0,1921.0,0.0,18.0
0.28,97.0,1921.0,0.0,46.0
0.29,88.0,1921.0,0.0,55.0
0.3,67.0,1921.0,0.0,76.0
0.31,23.0,1921.0,0.0,120.0
0.32,3.0,1921.0,0.0,140.0
0.33,2.0,1921.0,0.0,141.0
0.34,2.0,1921.0,0.0,141.0
0.35,2.0,1921.0,0.0,141.0
