threshold,TP,TN,FP,FN
0.0,128.0,0.0,381.0,0.0
0.05,128.0,106.0,275.0,0.0
0.1,128.0,106.0,275.0,0.0
0.15,128.0,108.0,273.0,0.0
0.2,128.0,114.0,267.0,0.0
0.25,128.0,125.0,256.0,0.0
0.3,128.0,147.0,234.0,0.0
0.35,127.0,173.0,208.0,1.0
0.4,127.0,200.0,181.0,1.0
0.45,125.0,216.0,165.0,3.0
0.5,121.0,243.0,138.0,7.0
0.55,109.0,264.0,117.0,19.0
0.6,82.0,295.0,86.0,46.0
0.65,44.0,316.0,65.0,84.0
0.7,20.0,324.0,57.0,108.0
0.75,7.0,333.0,48.0,121.0
0.8,2.0,348.0,33.0,126.0
0.85,2.0,362.0,19.0,126.0
0.9,1.0,369.0,12.0,127.0
0.95,0.0,373.0,8.0,128.0
1.0,0.0,378.0,3.0,128.0
