threshold,TP,TN,FP,FN,TP_LATE
0.0,128.0,0.0,381.0,0.0,0.0
0.05,97.0,106.0,275.0,0.0,31.0
0.1,97.0,106.0,275.0,0.0,31.0
0.15,97.0,108.0,273.0,0.0,31.0
0.2,97.0,114.0,267.0,0.0,31.0
0.25,97.0,125.0,256.0,0.0,31.0
0.3,84.0,147.0,234.0,0.0,44.0
0.35,65.0,173.0,208.0,1.0,62.0
0.4,52.0,200.0,181.0,1.0,75.0
0.45,41.0,216.0,165.0,3.0,84.0
0.5,33.0,243.0,138.0,7.0,88.0
0.55,18.0,264.0,117.0,19.0,91.0
0.6,15.0,295.0,86.0,46.0,67.0
0.65,6.0,316.0,65.0,84.0,38.0
0.7,3.0,324.0,57.0,108.0,17.0
0.75,1.0,333.0,48.0,121.0,6.0
0.8,0.0,348.0,33.0,126.0,2.0
0.85,0.0,362.0,19.0,126.0,2.0
0.9,0.0,369.0,12.0,127.0,1.0
0.95,0.0,373.0,8.0,128.0,0.0
1.0,0.0,378.0,3.0,128.0,0.0
