threshold,TP,TN,FP,FN
0.0,128.0,0.0,381.0,0.0
0.05,128.0,0.0,381.0,0.0
0.1,128.0,0.0,381.0,0.0
0.15,128.0,0.0,381.0,0.0
0.2,128.0,0.0,381.0,0.0
0.25,128.0,0.0,381.0,0.0
0.3,128.0,0.0,381.0,0.0
0.35,128.0,0.0,381.0,0.0
0.4,128.0,0.0,381.0,0.0
0.45,128.0,0.0,381.0,0.0
0.5,128.0,0.0,381.0,0.0
0.55,128.0,0.0,381.0,0.0
0.6,128.0,0.0,381.0,0.0
0.65,128.0,0.0,381.0,0.0
0.7,128.0,0.0,381.0,0.0
0.75,128.0,0.0,381.0,0.0
0.8,128.0,2.0,379.0,0.0
0.85,128.0,9.0,372.0,0.0
0.9,128.0,9.0,372.0,0.0
0.95,128.0,9.0,372.0,0.0
1.0,0.0,381.0,0.0,128.0
