threshold,TP,TN,FP,FN,TP_LATE
0.0,128.0,0.0,381.0,0.0,0.0
0.05,128.0,0.0,381.0,0.0,0.0
0.1,128.0,0.0,381.0,0.0,0.0
0.15,128.0,0.0,381.0,0.0,0.0
0.2,128.0,0.0,381.0,0.0,0.0
0.25,128.0,0.0,381.0,0.0,0.0
0.3,128.0,0.0,381.0,0.0,0.0
0.35,128.0,0.0,381.0,0.0,0.0
0.4,128.0,0.0,381.0,0.0,0.0
0.45,128.0,0.0,381.0,0.0,0.0
0.5,128.0,2.0,379.0,0.0,0.0
0.55,128.0,7.0,374.0,0.0,0.0
0.6,128.0,10.0,371.0,0.0,0.0
0.65,128.0,14.0,367.0,0.0,0.0
0.7,128.0,20.0,361.0,0.0,0.0
0.75,128.0,30.0,351.0,0.0,0.0
0.8,128.0,37.0,344.0,0.0,0.0
0.85,128.0,56.0,325.0,0.0,0.0
0.9,128.0,71.0,310.0,0.0,0.0
0.95,127.0,93.0,288.0,0.0,1.0
1.0,124.0,135.0,246.0,0.0,4.0
