threshold,TP,TN,FP,FN
0.0,128.0,0.0,381.0,0.0
0.05,128.0,1.0,380.0,0.0
0.1,128.0,119.0,262.0,0.0
0.15,128.0,199.0,182.0,0.0
0.2,128.0,233.0,148.0,0.0
0.25,128.0,249.0,132.0,0.0
0.3,128.0,263.0,118.0,0.0
0.35,128.0,267.0,114.0,0.0
0.4,128.0,270.0,111.0,0.0
0.45,128.0,276.0,105.0,0.0
0.5,128.0,283.0,98.0,0.0
0.55,128.0,287.0,94.0,0.0
0.6,128.0,291.0,90.0,0.0
0.65,128.0,293.0,88.0,0.0
0.7,128.0,295.0,86.0,0.0
0.75,128.0,295.0,86.0,0.0
0.8,128.0,295.0,86.0,0.0
0.85,128.0,295.0,86.0,0.0
0.9,128.0,296.0,85.0,0.0
0.95,128.0,296.0,85.0,0.0
1.0,128.0,296.0,85.0,0.0
