threshold,TP,TN,FP,FN,TP_LATE
0.0,128.0,0.0,381.0,0.0,0.0
0.05,128.0,1.0,380.0,0.0,0.0
0.1,126.0,119.0,262.0,0.0,2.0
0.15,120.0,199.0,182.0,0.0,8.0
0.2,106.0,233.0,148.0,0.0,22.0
0.25,93.0,249.0,132.0,0.0,35.0
0.3,79.0,263.0,118.0,0.0,49.0
0.35,71.0,267.0,114.0,0.0,57.0
0.4,61.0,270.0,111.0,0.0,67.0
0.45,54.0,276.0,105.0,0.0,74.0
0.5,47.0,283.0,98.0,0.0,81.0
0.55,30.0,287.0,94.0,0.0,98.0
0.6,21.0,291.0,90.0,0.0,107.0
0.65,18.0,293.0,88.0,0.0,110.0
0.7,15.0,295.0,86.0,0.0,113.0
0.75,11.0,295.0,86.0,0.0,117.0
0.8,5.0,295.0,86.0,0.0,123.0
0.85,5.0,295.0,86.0,0.0,123.0
0.9,4.0,296.0,85.0,0.0,124.0
0.95,4.0,296.0,85.0,0.0,124.0
1.0,1.0,296.0,85.0,0.0,127.0
