threshold,TP,TN,FP,FN,TP_LATE
0.0,128.0,0.0,381.0,0.0,0.0
0.01,128.0,102.0,279.0,0.0,0.0
0.02,128.0,102.0,279.0,0.0,0.0
0.03,128.0,102.0,279.0,0.0,0.0
0.04,128.0,103.0,278.0,0.0,0.0
0.05,128.0,103.0,278.0,0.0,0.0
0.06,128.0,103.0,278.0,0.0,0.0
0.07,128.0,103.0,278.0,0.0,0.0
0.08,128.0,105.0,276.0,0.0,0.0
0.09,128.0,105.0,276.0,0.0,0.0
0.1,128.0,106.0,275.0,0.0,0.0
0.11,128.0,107.0,274.0,0.0,0.0
0.12,128.0,109.0,272.0,0.0,0.0
0.13,128.0,109.0,272.0,0.0,0.0
0.14,128.0,115.0,266.0,0.0,0.0
0.15,128.0,117.0,264.0,0.0,0.0
0.16,128.0,121.0,260.0,0.0,0.0
0.17,128.0,121.0,260.0,0.0,0.0
0.18,125.0,124.0,257.0,0.0,3.0
0.19,123.0,131.0,250.0,0.0,5.0
0.2,122.0,138.0,243.0,0.0,6.0
0.21,116.0,142.0,239.0,2.0,10.0
0.22,110.0,161.0,220.0,3.0,15.0
0.23,109.0,177.0,204.0,4.0,15.0
0.24,100.0,188.0,193.0,10.0,18.0
0.25,95.0,188.0,193.0,19.0,14.0
0.26,88.0,190.0,191.0,25.0,15.0
0.27,80.0,215.0,166.0,27.0,21.0
0.28,76.0,233.0,148.0,33.0,19.0
0.29,66.0,246.0,135.0,42.0,20.0
0.3,57.0,251.0,130.0,45.0,26.0
0.31,51.0,263.0,118.0,50.0,27.0
0.32,38.0,275.0,106.0,59.0,31.0
0.33,36.0,283.0,98.0,63.0,29.0
0.34,26.0,289.0,92.0,71.0,31.0
0.35,25.0,297.0,84.0,76.0,27.0
