threshold,TP,TN,FP,FN,TP_LATE
0.0,128.0,0.0,381.0,0.0,0.0
0.01,128.0,11.0,370.0,0.0,0.0
0.02,128.0,11.0,370.0,0.0,0.0
0.03,128.0,11.0,370.0,0.0,0.0
0.04,128.0,11.0,370.0,0.0,0.0
0.05,128.0,12.0,369.0,0.0,0.0
0.06,128.0,12.0,369.0,0.0,0.0
0.07,128.0,12.0,369.0,0.0,0.0
0.08,128.0,12.0,369.0,0.0,0.0
0.09,128.0,15.0,366.0,0.0,0.0
0.1,128.0,18.0,363.0,0.0,0.0
0.11,128.0,23.0,358.0,0.0,0.0
0.12,128.0,26.0,355.0,0.0,0.0
0.13,128.0,31.0,350.0,0.0,0.0
0.14,128.0,38.0,343.0,0.0,0.0
0.15,128.0,43.0,338.0,0.0,0.0
0.16,128.0,50.0,331.0,0.0,0.0
0.17,128.0,50.0,331.0,0.0,0.0
0.18,128.0,55.0,326.0,0.0,0.0
0.19,128.0,61.0,320.0,0.0,0.0
0.2,128.0,79.0,302.0,0.0,0.0
0.21,125.0,83.0,298.0,0.0,3.0
0.22,122.0,91.0,290.0,0.0,6.0
0.23,120.0,98.0,283.0,0.0,8.0
0.24,117.0,111.0,270.0,1.0,10.0
0.25,116.0,116.0,265.0,2.0,10.0
0.26,112.0,118.0,263.0,2.0,14.0
0.27,110.0,134.0,247.0,2.0,16.0
0.28,105.0,155.0,226.0,4.0,19.0
0.29,91.0,180.0,201.0,13.0,24.0
0.3,83.0,189.0,192.0,18.0,27.0
0.31,71.0,205.0,176.0,33.0,24.0
0.32,62.0,217.0,164.0,44.0,22.0
0.33,55.0,231.0,150.0,48.0,25.0
0.34,46.0,237.0,144.0,56.0,26.0
0.35,45.0,247.0,134.0,63.0,20.0
