threshold,TP,TN,FP,FN
0.0,128.0,0.0,381.0,0.0
0.01,128.0,377.0,4.0,0.0
0.02,128.0,377.0,4.0,0.0
0.03,128.0,377.0,4.0,0.0
0.04,128.0,377.0,4.0,0.0
0.05,128.0,377.0,4.0,0.0
0.06,128.0,377.0,4.0,0.0
0.07,128.0,377.0,4.0,0.0
0.08,128.0,377.0,4.0,0.0
0.09,128.0,377.0,4.0,0.0
0.1,128.0,377.0,4.0,0.0
0.11,128.0,381.0,0.0,0.0
0.12,128.0,381.0,0.0,0.0
0.13,128.0,381.0,0.0,0.0
0.14,128.0,381.0,0.0,0.0
0.15,128.0,381.0,0.0,0.0
0.16,128.0,381.0,0.0,0.0
0.17,128.0,381.0,0.0,0.0
0.18,128.0,381.0,0.0,0.0
0.19,128.0,381.0,0.0,0.0
0.2,128.0,381.0,0.0,0.0
0.21,125.0,381.0,0.0,3.0
0.22,123.0,381.0,0.0,5.0
0.23,123.0,381.0,0.0,5.0
0.24,119.0,381.0,0.0,9.0
0.25,112.0,380.0,1.0,16.0
0.26,108.0,381.0,0.0,20.0
0.27,104.0,381.0,0.0,24.0
0.28,96.0,381.0,0.0,32.0
0.29,80.0,381.0,0.0,48.0
0.3,73.0,381.0,0.0,55.0
0.31,59.0,381.0,0.0,69.0
0.32,51.0,381.0,0.0,77.0
0.33,47.0,381.0,0.0,81.0
0.34,47.0,381.0,0.0,81.0
0.35,45.0,381.0,0.0,83.0
