threshold,TP,TN,FP,FN,TP_LATE
0.0,128.0,0.0,381.0,0.0,0.0
0.01,128.0,377.0,4.0,0.0,0.0
0.02,128.0,377.0,4.0,0.0,0.0
0.03,128.0,377.0,4.0,0.0,0.0
0.04,128.0,377.0,4.0,0.0,0.0
0.05,128.0,377.0,4.0,0.0,0.0
0.06,128.0,377.0,4.0,0.0,0.0
0.07,128.0,377.0,4.0,0.0,0.0
0.08,128.0,377.0,4.0,0.0,0.0
0.09,128.0,377.0,4.0,0.0,0.0
0.1,128.0,377.0,4.0,0.0,0.0
0.11,128.0,381.0,0.0,0.0,0.0
0.12,128.0,381.0,0.0,0.0,0.0
0.13,128.0,381.0,0.0,0.0,0.0
0.14,123.0,381.0,0.0,0.0,5.0
0.15,121.0,381.0,0.0,0.0,7.0
0.16,121.0,381.0,0.0,0.0,7.0
0.17,120.0,381.0,0.0,0.0,8.0
0.18,107.0,381.0,0.0,0.0,21.0
0.19,100.0,381.0,0.0,0.0,28.0
0.2,93.0,381.0,0.0,0.0,35.0
0.21,82.0,381.0,0.0,3.0,43.0
0.22,75.0,381.0,0.0,5.0,48.0
0.23,68.0,381.0,0.0,5.0,55.0
0.24,58.0,381.0,0.0,9.0,61.0
0.25,52.0,380.0,1.0,16.0,60.0
0.26,45.0,381.0,0.0,20.0,63.0
0.27,37.0,381.0,0.0,24.0,67.0
0.28,34.0,381.0,0.0,32.0,62.0
0.29,33.0,381.0,0.0,48.0,47.0
0.3,30.0,381.0,0.0,55.0,43.0
0.31,24.0,381.0,0.0,69.0,35.0
0.32,16.0,381.0,0.0,77.0,35.0
0.33,12.0,381.0,0.0,81.0,35.0
0.34,12.0,381.0,0.0,81.0,35.0
0.35,10.0,381.0,0.0,83.0,35.0
