threshold,TP,TN,FP,FN
0.0,133.0,0.0,470.0,0.0
0.05,133.0,282.0,188.0,0.0
0.1,133.0,288.0,182.0,0.0
0.15,133.0,296.0,174.0,0.0
0.2,133.0,304.0,166.0,0.0
0.25,133.0,313.0,157.0,0.0
0.3,133.0,333.0,137.0,0.0
0.35,133.0,343.0,127.0,0.0
0.4,133.0,367.0,103.0,0.0
0.45,133.0,409.0,61.0,0.0
0.5,132.0,436.0,34.0,1.0
0.55,131.0,455.0,15.0,2.0
0.6,128.0,466.0,4.0,5.0
0.65,124.0,468.0,2.0,9.0
0.7,120.0,470.0,0.0,13.0
0.75,119.0,470.0,0.0,14.0
0.8,118.0,470.0,0.0,15.0
0.85,118.0,470.0,0.0,15.0
0.9,112.0,470.0,0.0,21.0
0.95,93.0,470.0,0.0,40.0
1.0,56.0,470.0,0.0,77.0
