threshold,TP,TN,FP,FN,TP_LATE
0.0,133.0,0.0,470.0,0.0,0.0
0.05,131.0,282.0,188.0,0.0,2.0
0.1,131.0,288.0,182.0,0.0,2.0
0.15,131.0,296.0,174.0,0.0,2.0
0.2,131.0,304.0,166.0,0.0,2.0
0.25,131.0,313.0,157.0,0.0,2.0
0.3,131.0,333.0,137.0,0.0,2.0
0.35,130.0,343.0,127.0,0.0,3.0
0.4,130.0,367.0,103.0,0.0,3.0
0.45,128.0,409.0,61.0,0.0,5.0
0.5,126.0,436.0,34.0,1.0,6.0
0.55,112.0,455.0,15.0,2.0,19.0
0.6,96.0,466.0,4.0,5.0,32.0
0.65,79.0,468.0,2.0,9.0,45.0
0.7,60.0,470.0,0.0,13.0,60.0
0.75,40.0,470.0,0.0,14.0,79.0
0.8,23.0,470.0,0.0,15.0,95.0
0.85,14.0,470.0,0.0,15.0,104.0
0.9,10.0,470.0,0.0,21.0,102.0
0.95,6.0,470.0,0.0,40.0,87.0
1.0,0.0,470.0,0.0,77.0,56.0
