threshold,TP,TN,FP,FN,TP_LATE
0.0,133.0,0.0,470.0,0.0,0.0
0.05,133.0,1.0,469.0,0.0,0.0
0.1,133.0,1.0,469.0,0.0,0.0
0.15,133.0,1.0,469.0,0.0,0.0
0.2,133.0,2.0,468.0,0.0,0.0
0.25,133.0,4.0,466.0,0.0,0.0
0.3,133.0,4.0,466.0,0.0,0.0
0.35,133.0,4.0,466.0,0.0,0.0
0.4,133.0,6.0,464.0,0.0,0.0
0.45,133.0,7.0,463.0,0.0,0.0
0.5,133.0,8.0,462.0,0.0,0.0
0.55,133.0,13.0,457.0,0.0,0.0
0.6,133.0,15.0,455.0,0.0,0.0
0.65,133.0,20.0,450.0,0.0,0.0
0.7,133.0,26.0,444.0,0.0,0.0
0.75,133.0,32.0,438.0,0.0,0.0
0.8,133.0,36.0,434.0,0.0,0.0
0.85,133.0,45.0,425.0,0.0,0.0
0.9,132.0,59.0,411.0,0.0,1.0
0.95,130.0,90.0,380.0,0.0,3.0
1.0,126.0,173.0,297.0,0.0,7.0
