threshold,TP,TN,FP,FN,TP_LATE
0.0,133.0,0.0,470.0,0.0,0.0
0.05,133.0,1.0,469.0,0.0,0.0
0.1,133.0,216.0,254.0,0.0,0.0
0.15,133.0,388.0,82.0,0.0,0.0
0.2,133.0,422.0,48.0,0.0,0.0
0.25,133.0,437.0,33.0,0.0,0.0
0.3,133.0,443.0,27.0,0.0,0.0
0.35,133.0,449.0,21.0,0.0,0.0
0.4,133.0,449.0,21.0,0.0,0.0
0.45,133.0,452.0,18.0,0.0,0.0
0.5,133.0,452.0,18.0,0.0,0.0
0.55,132.0,456.0,14.0,0.0,1.0
0.6,131.0,457.0,13.0,0.0,2.0
0.65,131.0,458.0,12.0,0.0,2.0
0.7,131.0,458.0,12.0,0.0,2.0
0.75,131.0,459.0,11.0,0.0,2.0
0.8,130.0,459.0,11.0,0.0,3.0
0.85,130.0,459.0,11.0,0.0,3.0
0.9,130.0,459.0,11.0,0.0,3.0
0.95,130.0,459.0,11.0,0.0,3.0
1.0,130.0,459.0,11.0,0.0,3.0
