threshold,TP,TN,FP,FN
0.0,133.0,0.0,470.0,0.0
0.01,133.0,5.0,465.0,0.0
0.02,133.0,5.0,465.0,0.0
0.03,133.0,6.0,464.0,0.0
0.04,133.0,6.0,464.0,0.0
0.05,133.0,6.0,464.0,0.0
0.06,133.0,6.0,464.0,0.0
0.07,133.0,10.0,460.0,0.0
0.08,133.0,20.0,450.0,0.0
0.09,133.0,22.0,448.0,0.0
0.1,133.0,36.0,434.0,0.0
0.11,133.0,45.0,425.0,0.0
0.12,133.0,71.0,399.0,0.0
0.13,133.0,112.0,358.0,0.0
0.14,133.0,185.0,285.0,0.0
0.15,133.0,251.0,219.0,0.0
0.16,133.0,316.0,154.0,0.0
0.17,133.0,351.0,119.0,0.0
0.18,133.0,387.0,83.0,0.0
0.19,133.0,410.0,60.0,0.0
0.2,133.0,428.0,42.0,0.0
0.21,133.0,448.0,22.0,0.0
0.22,131.0,455.0,15.0,2.0
0.23,119.0,462.0,8.0,14.0
0.24,106.0,465.0,5.0,27.0
0.25,98.0,467.0,3.0,35.0
0.26,44.0,468.0,2.0,89.0
0.27,14.0,468.0,2.0,119.0
0.28,7.0,468.0,2.0,126.0
0.29,6.0,469.0,1.0,127.0
0.3,2.0,469.0,1.0,131.0
0.31,2.0,469.0,1.0,131.0
0.32,2.0,469.0,1.0,131.0
0.33,1.0,469.0,1.0,132.0
0.34,1.0,469.0,1.0,132.0
0.35,1.0,470.0,0.0,132.0
