threshold,TP,TN,FP,FN
0.0,133.0,0.0,470.0,0.0
0.01,133.0,305.0,165.0,0.0
0.02,133.0,298.0,172.0,0.0
0.03,133.0,309.0,161.0,0.0
0.04,133.0,298.0,172.0,0.0
0.05,133.0,300.0,170.0,0.0
0.06,133.0,307.0,163.0,0.0
0.07,133.0,309.0,161.0,0.0
0.08,133.0,302.0,168.0,0.0
0.09,133.0,315.0,155.0,0.0
0.1,133.0,318.0,152.0,0.0
0.11,133.0,327.0,143.0,0.0
0.12,133.0,340.0,130.0,0.0
0.13,133.0,349.0,121.0,0.0
0.14,133.0,365.0,105.0,0.0
0.15,133.0,376.0,94.0,0.0
0.16,133.0,393.0,77.0,0.0
0.17,133.0,414.0,56.0,0.0
0.18,133.0,430.0,40.0,0.0
0.19,133.0,437.0,33.0,0.0
0.2,133.0,448.0,22.0,0.0
0.21,133.0,457.0,13.0,0.0
0.22,131.0,463.0,7.0,2.0
0.23,119.0,467.0,3.0,14.0
0.24,103.0,468.0,2.0,30.0
0.25,98.0,469.0,1.0,35.0
0.26,44.0,469.0,1.0,89.0
0.27,14.0,469.0,1.0,119.0
0.28,7.0,469.0,1.0,126.0
0.29,6.0,470.0,0.0,127.0
0.3,2.0,470.0,0.0,131.0
0.31,2.0,470.0,0.0,131.0
0.32,2.0,470.0,0.0,131.0
0.33,1.0,470.0,0.0,132.0
0.34,1.0,470.0,0.0,132.0
0.35,1.0,470.0,0.0,132.0
