threshold,TP,TN,FP,FN,TP_LATE
0.0,133.0,0.0,470.0,0.0,0.0
0.01,133.0,462.0,8.0,0.0,0.0
0.02,133.0,456.0,14.0,0.0,0.0
0.03,133.0,469.0,1.0,0.0,0.0
0.04,133.0,454.0,16.0,0.0,0.0
0.05,133.0,456.0,14.0,0.0,0.0
0.06,133.0,465.0,5.0,0.0,0.0
0.07,133.0,462.0,8.0,0.0,0.0
0.08,133.0,451.0,19.0,0.0,0.0
0.09,133.0,466.0,4.0,0.0,0.0
0.1,133.0,462.0,8.0,0.0,0.0
0.11,133.0,469.0,1.0,0.0,0.0
0.12,133.0,469.0,1.0,0.0,0.0
0.13,133.0,469.0,1.0,0.0,0.0
0.14,133.0,470.0,0.0,0.0,0.0
0.15,133.0,469.0,1.0,0.0,0.0
0.16,133.0,470.0,0.0,0.0,0.0
0.17,133.0,470.0,0.0,0.0,0.0
0.18,133.0,469.0,1.0,0.0,0.0
0.19,133.0,470.0,0.0,0.0,0.0
0.2,133.0,470.0,0.0,0.0,0.0
0.21,133.0,470.0,0.0,0.0,0.0
0.22,123.0,470.0,0.0,3.0,7.0
0.23,93.0,470.0,0.0,16.0,24.0
0.24,75.0,470.0,0.0,32.0,26.0
0.25,70.0,470.0,0.0,38.0,25.0
0.26,15.0,470.0,0.0,93.0,25.0
0.27,2.0,470.0,0.0,120.0,11.0
0.28,2.0,470.0,0.0,127.0,4.0
0.29,1.0,470.0,0.0,128.0,4.0
0.3,1.0,470.0,0.0,131.0,1.0
0.31,1.0,470.0,0.0,131.0,1.0
0.32,1.0,470.0,0.0,131.0,1.0
0.33,1.0,470.0,0.0,132.0,0.0
0.34,1.0,470.0,0.0,132.0,0.0
0.35,1.0,470.0,0.0,132.0,0.0
