threshold,TP,TN,FP,FN
0.0,136.0,0.0,537.0,0.0
0.05,136.0,306.0,231.0,0.0
0.1,136.0,306.0,231.0,0.0
0.15,136.0,306.0,231.0,0.0
0.2,136.0,306.0,231.0,0.0
0.25,136.0,309.0,228.0,0.0
0.3,136.0,314.0,223.0,0.0
0.35,136.0,328.0,209.0,0.0
0.4,136.0,350.0,187.0,0.0
0.45,136.0,379.0,158.0,0.0
0.5,136.0,409.0,128.0,0.0
0.55,135.0,450.0,87.0,1.0
0.6,134.0,491.0,46.0,2.0
0.65,130.0,504.0,33.0,6.0
0.7,122.0,516.0,21.0,14.0
0.75,116.0,526.0,11.0,20.0
0.8,103.0,529.0,8.0,33.0
0.85,83.0,533.0,4.0,53.0
0.9,57.0,537.0,0.0,79.0
0.95,45.0,537.0,0.0,91.0
1.0,26.0,537.0,0.0,110.0
