threshold,TP,TN,FP,FN,TP_LATE
0.0,136.0,0.0,537.0,0.0,0.0
0.05,78.0,306.0,231.0,0.0,58.0
0.1,78.0,306.0,231.0,0.0,58.0
0.15,78.0,306.0,231.0,0.0,58.0
0.2,78.0,306.0,231.0,0.0,58.0
0.25,77.0,309.0,228.0,0.0,59.0
0.3,69.0,314.0,223.0,0.0,67.0
0.35,61.0,328.0,209.0,0.0,75.0
0.4,48.0,350.0,187.0,0.0,88.0
0.45,39.0,379.0,158.0,0.0,97.0
0.5,29.0,409.0,128.0,0.0,107.0
0.55,22.0,450.0,87.0,1.0,113.0
0.6,16.0,491.0,46.0,2.0,118.0
0.65,12.0,504.0,33.0,6.0,118.0
0.7,8.0,516.0,21.0,14.0,114.0
0.75,5.0,526.0,11.0,20.0,111.0
0.8,2.0,529.0,8.0,33.0,101.0
0.85,1.0,533.0,4.0,53.0,82.0
0.9,1.0,537.0,0.0,79.0,56.0
0.95,1.0,537.0,0.0,91.0,44.0
1.0,0.0,537.0,0.0,110.0,26.0
