threshold,TP,TN,FP,FN
0.0,136.0,0.0,537.0,0.0
0.05,136.0,0.0,537.0,0.0
0.1,136.0,0.0,537.0,0.0
0.15,136.0,0.0,537.0,0.0
0.2,136.0,0.0,537.0,0.0
0.25,136.0,0.0,537.0,0.0
0.3,136.0,0.0,537.0,0.0
0.35,136.0,0.0,537.0,0.0
0.4,136.0,0.0,537.0,0.0
0.45,136.0,0.0,537.0,0.0
0.5,136.0,0.0,537.0,0.0
0.55,136.0,0.0,537.0,0.0
0.6,136.0,0.0,537.0,0.0
0.65,136.0,0.0,537.0,0.0
0.7,136.0,0.0,537.0,0.0
0.75,136.0,0.0,537.0,0.0
0.8,136.0,0.0,537.0,0.0
0.85,136.0,0.0,537.0,0.0
0.9,136.0,0.0,537.0,0.0
0.95,136.0,0.0,537.0,0.0
1.0,0.0,537.0,0.0,136.0
