threshold,TP,TN,FP,FN
0.0,136.0,0.0,537.0,0.0
0.05,136.0,0.0,537.0,0.0
0.1,136.0,0.0,537.0,0.0
0.15,136.0,0.0,537.0,0.0
0.2,136.0,0.0,537.0,0.0
0.25,136.0,1.0,536.0,0.0
0.3,136.0,2.0,535.0,0.0
0.35,136.0,24.0,513.0,0.0
0.4,136.0,67.0,470.0,0.0
0.45,136.0,114.0,423.0,0.0
0.5,136.0,128.0,409.0,0.0
0.55,136.0,130.0,407.0,0.0
0.6,136.0,133.0,404.0,0.0
0.65,136.0,134.0,403.0,0.0
0.7,136.0,134.0,403.0,0.0
0.75,136.0,135.0,402.0,0.0
0.8,136.0,135.0,402.0,0.0
0.85,136.0,135.0,402.0,0.0
0.9,136.0,135.0,402.0,0.0
0.95,136.0,135.0,402.0,0.0
1.0,136.0,136.0,401.0,0.0
