threshold,TP,TN,FP,FN,TP_LATE
0.0,136.0,0.0,537.0,0.0,0.0
0.05,136.0,0.0,537.0,0.0,0.0
0.1,136.0,0.0,537.0,0.0,0.0
0.15,136.0,0.0,537.0,0.0,0.0
0.2,136.0,0.0,537.0,0.0,0.0
0.25,135.0,1.0,536.0,0.0,1.0
0.3,135.0,2.0,535.0,0.0,1.0
0.35,135.0,24.0,513.0,0.0,1.0
0.4,134.0,67.0,470.0,0.0,2.0
0.45,134.0,114.0,423.0,0.0,2.0
0.5,131.0,128.0,409.0,0.0,5.0
0.55,125.0,130.0,407.0,0.0,11.0
0.6,118.0,133.0,404.0,0.0,18.0
0.65,106.0,134.0,403.0,0.0,30.0
0.7,97.0,134.0,403.0,0.0,39.0
0.75,90.0,135.0,402.0,0.0,46.0
0.8,79.0,135.0,402.0,0.0,57.0
0.85,59.0,135.0,402.0,0.0,77.0
0.9,36.0,135.0,402.0,0.0,100.0
0.95,26.0,135.0,402.0,0.0,110.0
1.0,21.0,136.0,401.0,0.0,115.0
