threshold,TP,TN,FP,FN
0.0,136.0,0.0,537.0,0.0
0.05,136.0,0.0,537.0,0.0
0.1,136.0,308.0,229.0,0.0
0.15,136.0,408.0,129.0,0.0
0.2,136.0,443.0,94.0,0.0
0.25,136.0,460.0,77.0,0.0
0.3,136.0,471.0,66.0,0.0
0.35,136.0,478.0,59.0,0.0
0.4,136.0,486.0,51.0,0.0
0.45,136.0,493.0,44.0,0.0
0.5,136.0,495.0,42.0,0.0
0.55,136.0,500.0,37.0,0.0
0.6,136.0,506.0,31.0,0.0
0.65,136.0,509.0,28.0,0.0
0.7,136.0,511.0,26.0,0.0
0.75,136.0,511.0,26.0,0.0
0.8,136.0,511.0,26.0,0.0
0.85,136.0,511.0,26.0,0.0
0.9,136.0,512.0,25.0,0.0
0.95,136.0,512.0,25.0,0.0
1.0,136.0,513.0,24.0,0.0
