threshold,TP,TN,FP,FN,TP_LATE
0.0,136.0,0.0,537.0,0.0,0.0
0.05,136.0,0.0,537.0,0.0,0.0
0.1,89.0,308.0,229.0,0.0,47.0
0.15,61.0,408.0,129.0,0.0,75.0
0.2,39.0,443.0,94.0,0.0,97.0
0.25,30.0,460.0,77.0,0.0,106.0
0.3,23.0,471.0,66.0,0.0,113.0
0.35,22.0,478.0,59.0,0.0,114.0
0.4,19.0,486.0,51.0,0.0,117.0
0.45,16.0,493.0,44.0,0.0,120.0
0.5,13.0,495.0,42.0,0.0,123.0
0.55,11.0,500.0,37.0,0.0,125.0
0.6,11.0,506.0,31.0,0.0,125.0
0.65,10.0,509.0,28.0,0.0,126.0
0.7,10.0,511.0,26.0,0.0,126.0
0.75,10.0,511.0,26.0,0.0,126.0
0.8,10.0,511.0,26.0,0.0,126.0
0.85,10.0,511.0,26.0,0.0,126.0
0.9,9.0,512.0,25.0,0.0,127.0
0.95,9.0,512.0,25.0,0.0,127.0
1.0,9.0,513.0,24.0,0.0,127.0
