threshold,TP,TN,FP,FN
0.0,136.0,0.0,537.0,0.0
0.01,136.0,0.0,537.0,0.0
0.02,136.0,0.0,537.0,0.0
0.03,136.0,0.0,537.0,0.0
0.04,136.0,0.0,537.0,0.0
0.05,136.0,0.0,537.0,0.0
0.06,136.0,0.0,537.0,0.0
0.07,136.0,0.0,537.0,0.0
0.08,136.0,0.0,537.0,0.0
0.09,136.0,0.0,537.0,0.0
0.1,136.0,0.0,537.0,0.0
0.11,136.0,0.0,537.0,0.0
0.12,136.0,1.0,536.0,0.0
0.13,136.0,2.0,535.0,0.0
0.14,136.0,14.0,523.0,0.0
0.15,136.0,143.0,394.0,0.0
0.16,136.0,173.0,364.0,0.0
0.17,136.0,194.0,343.0,0.0
0.18,135.0,233.0,304.0,1.0
0.19,135.0,309.0,228.0,1.0
0.2,133.0,314.0,223.0,3.0
0.21,130.0,340.0,197.0,6.0
0.22,125.0,354.0,183.0,11.0
0.23,85.0,401.0,136.0,51.0
0.24,54.0,514.0,23.0,82.0
0.25,27.0,520.0,17.0,109.0
0.26,14.0,529.0,8.0,122.0
0.27,10.0,535.0,2.0,126.0
0.28,5.0,536.0,1.0,131.0
0.29,4.0,537.0,0.0,132.0
0.3,3.0,537.0,0.0,133.0
0.31,0.0,537.0,0.0,136.0
0.32,0.0,537.0,0.0,136.0
0.33,0.0,537.0,0.0,136.0
0.34,0.0,537.0,0.0,136.0
0.35,0.0,537.0,0.0,136.0
