threshold,TP,TN,FP,FN,TP_LATE
0.0,136.0,0.0,537.0,0.0,0.0
0.01,136.0,0.0,537.0,0.0,0.0
0.02,136.0,0.0,537.0,0.0,0.0
0.03,136.0,0.0,537.0,0.0,0.0
0.04,136.0,0.0,537.0,0.0,0.0
0.05,136.0,0.0,537.0,0.0,0.0
0.06,136.0,0.0,537.0,0.0,0.0
0.07,136.0,0.0,537.0,0.0,0.0
0.08,136.0,1.0,536.0,0.0,0.0
0.09,134.0,132.0,405.0,0.0,2.0
0.1,132.0,132.0,405.0,0.0,4.0
0.11,132.0,132.0,405.0,0.0,4.0
0.12,132.0,134.0,403.0,0.0,4.0
0.13,131.0,131.0,406.0,0.0,5.0
0.14,128.0,136.0,401.0,0.0,8.0
0.15,125.0,275.0,262.0,0.0,11.0
0.16,120.0,406.0,131.0,0.0,16.0
0.17,93.0,414.0,123.0,0.0,43.0
0.18,70.0,417.0,120.0,0.0,66.0
0.19,56.0,427.0,110.0,0.0,80.0
0.2,35.0,452.0,85.0,0.0,101.0
0.21,25.0,455.0,82.0,1.0,110.0
0.22,16.0,500.0,37.0,3.0,117.0
0.23,13.0,507.0,30.0,25.0,98.0
0.24,12.0,513.0,24.0,37.0,87.0
0.25,10.0,517.0,20.0,61.0,65.0
0.26,9.0,523.0,14.0,86.0,41.0
0.27,8.0,529.0,8.0,100.0,28.0
0.28,7.0,536.0,1.0,128.0,1.0
0.29,6.0,536.0,1.0,129.0,1.0
0.3,5.0,536.0,1.0,130.0,1.0
0.31,3.0,537.0,0.0,133.0,0.0
0.32,1.0,537.0,0.0,135.0,0.0
0.33,0.0,537.0,0.0,136.0,0.0
0.34,0.0,537.0,0.0,136.0,0.0
0.35,0.0,537.0,0.0,136.0,0.0
