threshold,TP,TN,FP,FN
0.0,136.0,0.0,537.0,0.0
0.01,136.0,532.0,5.0,0.0
0.02,136.0,532.0,5.0,0.0
0.03,136.0,532.0,5.0,0.0
0.04,136.0,532.0,5.0,0.0
0.05,136.0,457.0,80.0,0.0
0.06,136.0,534.0,3.0,0.0
0.07,136.0,530.0,7.0,0.0
0.08,136.0,525.0,12.0,0.0
0.09,136.0,534.0,3.0,0.0
0.1,136.0,531.0,6.0,0.0
0.11,136.0,527.0,10.0,0.0
0.12,136.0,533.0,4.0,0.0
0.13,136.0,531.0,6.0,0.0
0.14,136.0,536.0,1.0,0.0
0.15,136.0,535.0,2.0,0.0
0.16,136.0,537.0,0.0,0.0
0.17,136.0,536.0,1.0,0.0
0.18,136.0,537.0,0.0,0.0
0.19,136.0,537.0,0.0,0.0
0.2,133.0,537.0,0.0,3.0
0.21,131.0,537.0,0.0,5.0
0.22,125.0,537.0,0.0,11.0
0.23,98.0,537.0,0.0,38.0
0.24,79.0,537.0,0.0,57.0
0.25,67.0,537.0,0.0,69.0
0.26,45.0,537.0,0.0,91.0
0.27,32.0,537.0,0.0,104.0
0.28,5.0,537.0,0.0,131.0
0.29,4.0,537.0,0.0,132.0
0.3,3.0,537.0,0.0,133.0
0.31,0.0,537.0,0.0,136.0
0.32,0.0,537.0,0.0,136.0
0.33,0.0,537.0,0.0,136.0
0.34,0.0,537.0,0.0,136.0
0.35,0.0,537.0,0.0,136.0
