
RAM,1024
Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal
1,0,2,884,9866,1091379200,708,2,0,849.787707218167,1047679784,11192,0,0,1045536768,255258,
2,0,2,474,9502,1091379200,680,2,0,883.8066762105262,1049411969,10769,0,0,1047269376,255681,
3,0,1,59,9103,1091379200,674,2,0,929.2730318611294,1057171965,8874,0,0,1055031296,257576,
4,0,2,517,9579,1091379200,570,2,0,883.7781509867391,1057884524,8700,0,0,1055744000,257750,
5,0,2,346,9406,1091379200,840,2,0,894.2084372607401,1051033575,10373,0,0,1048891392,256077,

RAM,16384
Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal
1,0,8,12,25388,17197506560,719,2,0,825.4787174152876,2618722860,3568345,0,0,2581565440,630265,
2,0,8,11,25940,17197506560,696,2,0,831.8885006941231,2696458260,3549362,0,0,2659319808,649248,
3,0,8,11,25302,17197506560,690,2,0,822.6202871827311,2600811330,3572719,0,0,2563649536,625891,
4,0,8,24,26280,17197506560,809,2,0,833.9313346528623,2738522124,3539090,0,0,2701393920,659520,
5,0,8,11,28134,17197506560,772,2,0,833.2266202090592,2929308135,3492500,0,0,2892226560,706110,

RAM,20480
Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal
1,0,8,13,28084,21492473856,668,2,0,806.012894429406,2828593914,4567975,0,0,2782048256,679211,
2,0,10,11,28118,21492473856,738,2,0,803.3889921730469,2822598863,4569439,0,0,2776051712,677747,
3,0,13,12,26651,21492473856,760,2,0,794.4549506719724,2645228033,4612753,0,0,2598637568,634433,
4,0,9,13,27504,21492473856,710,2,0,798.638396799418,2744711963,4588459,0,0,2698145792,658727,
5,0,9,27,28736,21492473856,733,2,0,815.564889337557,2928483249,4543582,0,0,2881961984,703604,

RAM,2048
Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal
1,0,2,20,18035,2165121024,2023,2,0,934.8204598236566,2107093686,15203,0,0,2102849536,513391,
2,0,2,26,18038,2165121024,1959,2,0,936.2361024617431,2110635890,14338,0,0,2106392576,514256,
3,0,2,936,18927,2165121024,734,2,0,890.7557651783355,2107085496,15205,0,0,2102841344,513389,
4,0,2,21,18128,2165121024,838,2,0,928.805940196403,2104333656,15877,0,0,2100088832,512717,
5,0,2,511,18507,2165121024,697,2,0,911.305645393137,2107855356,15017,0,0,2103611392,513577,

RAM,4096
Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal
1,0,2,21,21831,4312604672,704,2,0,926.5659843327684,2528142738,437823,0,0,2519281664,615059,
2,0,3,7,21279,4312604672,681,2,0,924.0049652190261,2457282858,455127,0,0,2448404480,597755,
3,0,3,22,21940,4312604672,798,2,0,926.6158344349728,2540788098,434735,0,0,2531930112,618147,
4,0,2,29,21636,4312604672,702,2,0,928.0155629102338,2509477699,442381,0,0,2500612096,610501,
5,0,3,26,20946,4312604672,633,2,0,922.9934553788855,2416173153,465166,0,0,2407284736,587716,

RAM,8192
Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal
1,0,5,28,22000,8607571968,725,2,0,884.3607830870652,2431331081,1512345,0,0,2413006848,589113,
2,0,5,9,22374,8607571968,780,2,0,889.7104353346148,2487633236,1498596,0,0,2469322752,602862,
3,0,4,28,22272,8607571968,685,2,0,883.2799439554517,2458501377,1505710,0,0,2440183808,595748,
4,0,4,26,23016,8607571968,673,2,0,886.296791586998,2549324382,1483531,0,0,2531028992,617927,
5,0,4,22,22255,8607571968,801,2,0,886.0866657678307,2464430937,1504262,0,0,2446114816,597196,
