
RAM,1024
Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal
1,4,1,93,13055,1091379200,0,6,0,873.5507228435729,1425203982,10432,0,0,1422331904,347249,
2,7,1,372,15528,1091379200,0,9,0,913.0484137309203,1771900352,11645,0,0,1768341504,431724,
3,4,1,174,13561,1091379200,0,6,0,929.4449793510324,1575196830,10872,0,0,1572028416,383796,
4,4,2,108,12236,1091379200,0,6,0,925.2752963871178,1414764837,11047,0,0,1411907584,344704,
5,5,2,295,14568,1091379200,0,7,0,910.3864764520115,1657373741,11151,0,0,1654042624,403819,

RAM,16384
Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal
1,4,8,155,44458,17197506560,0,6,0,908.4293989651294,5047248438,3505872,0,0,5005918208,1222148,
2,5,7,95,46917,17197506560,0,7,0,910.1969096567897,5336954693,3528759,0,0,5294854144,1292689,
3,5,7,123,34520,17197506560,0,7,0,898.8146022658129,3877386110,3463840,0,0,3838713856,937186,
4,4,6,169,33451,17197506560,0,6,0,898.9466711317087,3757946517,3448695,0,0,3719643136,908116,
5,5,7,136,46875,17197506560,0,7,0,909.5167643594776,5328191528,3506746,0,0,5286305792,1290602,

RAM,20480
Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal
1,5,9,88,44139,21492473856,0,7,0,903.0427939270338,4981197376,4518045,0,0,4930904064,1203834,
2,5,10,81,46678,21492473856,0,7,0,903.3305632981916,5269366405,4541586,0,0,5218299904,1273999,
3,3,9,82,31772,21492473856,0,5,0,898.629550357334,3567683917,4511503,0,0,3520204800,859425,
4,5,9,140,48683,21492473856,0,7,0,904.4813822574681,5502878414,4526376,0,0,5451493376,1330931,
5,5,9,167,48489,21492473856,0,7,0,904.9140090759076,5483566459,4538392,0,0,5432111104,1326199,

RAM,2048
Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal
1,6,2,1135,25515,2165121024,0,8,0,876.1258116254459,2793862267,16237,0,0,2788270080,680730,
2,14,2,164,34438,2165121024,0,16,0,913.5572953885469,3932194708,15977,0,0,3924385792,958102,
3,7,2,136,26601,2165121024,0,9,0,906.4807564194143,3013722717,15431,0,0,3007709184,734304,
4,5,3,2,124,20780,2165121024,0,5,0,933.619007796708,2424629584,15338,0,0,2419765248,590763,

RAM,4096
Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal
1,3,3,178,23821,4312604672,0,5,0,924.2629792593837,2751549571,461701,0,0,2742038528,669443,
2,2,3,161,23096,4312604672,0,4,0,931.5307575455765,2688767615,434001,0,0,2679627776,654206,
3,5,3,134,28432,4312604672,0,7,0,923.5511214604805,3281741918,466336,0,0,3271155712,798622,
4,6,3,108,48000,4312604672,0,8,0,927.2647945496593,5563028581,435359,0,0,5548273664,1354559,
5,4,3,168,39022,4312604672,0,6,0,927.0537432532868,4521376341,413519,0,0,4508848128,1100793,

RAM,8192
Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal
1,6,5,109,44778,8607571968,0,8,0,921.8317219752977,5158933999,1442393,0,0,5135921152,1253887,
2,3,5,68,24798,8607571968,0,5,0,919.5173618360021,2849486860,1461646,0,0,2830802944,691114,
3,4,4,4,53,24885,8607571968,0,6,0,911.0457801535308,2833253847,1497481,0,0,2814279680,687080,
5,4,4,160,34754,8607571968,0,6,0,918.019209208633,3987433530,1426740,0,0,3966844928,968468,
