
RAM,1024
Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal
1,5,2,196,15435,1091379200,0,7,0,901.5403714119096,1738971633,11238,0,0,1734062080,423355,
2,5,2,256,14281,1091379200,0,7,0,914.9043003011416,1632777377,10634,0,0,1628413952,397562,
3,6,3,466,17996,1091379200,0,8,0,906.7079935530485,2039087154,10636,0,0,2033709056,496511,
4,5,2,199,13412,1091379200,0,7,0,921.4469685309471,1544363045,11471,0,0,1537478656,375361,
5,6,2,94,15588,1091379200,0,8,0,919.8857815988707,1791955012,11808,0,0,1786675200,436200,

RAM,16384
Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal
1,5,8,85,31589,17197506560,0,7,0,900.4916548557677,3554590933,3557270,0,0,3514191872,857957,
2,6,8,41,38617,17197506560,0,8,0,905.0610527079178,4367725311,3412030,0,0,4326141952,1056187,
3,5,8,106,45931,17197506560,0,7,0,909.5928405374212,5221191566,3495638,0,0,5178023936,1264166,
4,5,8,98,44328,17197506560,0,7,0,908.3887823104693,5032261418,3525875,0,0,4990255104,1218324,
5,4,7,74,33686,17197506560,0,6,0,904.7640977463701,3808731346,3485018,0,0,3769503744,920289,

RAM,20480
Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal
1,5,10,69,32782,21492473856,0,7,0,890.5634795557182,3647980858,4590287,0,0,3598696448,878588,
2,5,9,85,36601,21492473856,0,7,0,893.2493318758198,4085510008,4489917,0,0,4036341760,985435,
3,5,10,57,46031,21492473856,0,7,0,903.8848115425566,5199497928,4547793,0,0,5147504640,1256715,
4,5,9,101,35947,21492473856,0,7,0,896.6476122210474,4027752800,4502586,0,0,3978579968,971333,
5,4,10,129,46402,21492473856,0,6,0,904.4344854285221,5244603171,4527399,0,0,5193105408,1267848,

RAM,2048
Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal
1,12,3,99,33654,2165121024,0,14,0,912.0746383762742,3836315339,15834,0,0,3825233920,933895,
2,10,2,127,33274,2165121024,0,12,0,920.5733029574417,3828451801,15534,0,0,3818258432,932192,
3,11,2,126,36552,2165121024,0,13,0,917.4351509712723,4191319254,15775,0,0,4179464192,1020377,
4,12,2,125,39916,2165121024,0,14,0,907.2581640527134,4526325177,15881,0,0,4514185216,1102096,
5,7,3,86,28501,2165121024,0,9,0,929.6057188574637,3311275484,15476,0,0,3303514112,806522,

RAM,4096
Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal
1,5,3,144,37100,4312604672,0,7,0,926.475489446586,4295970218,390964,0,0,4283314176,1045731,
2,5,3,70,42009,4312604672,0,7,0,928.7242443460458,4876286390,418980,0,0,4860985344,1186764,
3,6,2,57,45399,4312604672,0,8,0,927.8390175562263,5264926023,436711,0,0,5248716800,1281425,
4,12,3,115,61497,4312604672,0,14,0,929.0019168048915,7140792866,458086,0,0,7120297984,1738354,
5,6,3,98,37513,4312604672,0,8,0,927.7647087176753,4349844316,400875,0,0,4336242688,1058653,

RAM,8192
Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal
1,4,5,113,42357,8607571968,0,6,0,921.2830047223271,4877059817,1453286,0,0,4853592064,1184959,
2,5,5,84,32584,8607571968,0,7,0,916.1671761564198,3730763868,1402309,0,0,3710251008,905823,
3,5,4,71,43568,8607571968,0,7,0,921.1722084289781,5016030825,1446153,0,0,4992512000,1218875,
4,6,4,40,47861,8607571968,0,8,0,921.8515164761685,5514418541,1468252,0,0,5489573888,1340228,
5,5,4,84,32351,8607571968,0,7,0,922.004802918354,3727798734,1393478,0,0,3707547648,905163,
